"album","song","words","overall_sentiment","neg_words","neg_sentiment","pos_words","pos_sentiment"
"Speak Now ","Superman (Taylor's Version)",34,0.911764705882353,12,-1.33333333333333,22,2.13636363636364
"Speak Now ","Electric Touch (Taylor's Version) [From The Vault]",17,-0.470588235294118,11,-1.63636363636364,6,1.66666666666667
"Speak Now ","When Emma Falls In Love (Taylor's Version) [From The Vault]",42,1.30952380952381,9,-2.11111111111111,33,2.24242424242424
"Speak Now ","I Can See You (Taylor's Version) [From The Vault]",6,1.16666666666667,1,-1,5,1.6
"Speak Now ","Castles Crumbling (Taylor's Version) [From The Vault]",27,0.555555555555556,9,-2,18,1.83333333333333
"Speak Now ","Foolish One (Taylor's Version) [From The Vault]",34,0.352941176470588,19,-1.36842105263158,15,2.53333333333333
"Speak Now ","Timeless (Taylor's Version) [From The Vault]",25,0.56,12,-1.33333333333333,13,2.30769230769231
"Red ","State Of Grace (Taylor's Version)",23,0.782608695652174,9,-1.66666666666667,14,2.35714285714286
"Red ","Red (Taylor's Version)",50,0.56,16,-2.0625,34,1.79411764705882
"Red ","Treacherous (Taylor's Version)",14,0.642857142857143,4,-2,10,1.7
"Red ","I Knew You Were Trouble (Taylor's Version)",58,-1.43103448275862,51,-1.86274509803922,7,1.71428571428571
"Red ","All Too Well (Taylor's Version)",24,0.333333333333333,10,-2,14,2
"Red ","22 (Taylor's Version)",53,1.0377358490566,10,-2.2,43,1.7906976744186
"Red ","I Almost Do (Taylor's Version)",18,0.0555555555555556,8,-1.75,10,1.5
"Red ","We Are Never Ever Getting Back Together (Taylor's Version)",24,0.375,10,-1.6,14,1.78571428571429
"Red ","Stay Stay Stay (Taylor's Version)",48,0.270833333333333,22,-2.40909090909091,26,2.53846153846154
"Red ","The Last Time (Taylor's Version)",20,0.35,10,-1.4,10,2.1
"Red ","Holy Ground (Taylor's Version)",15,1.53333333333333,2,-1.5,13,2
"Red ","Sad Beautiful Tragic (Taylor's Version)",40,1.3,12,-2,28,2.71428571428571
"Red ","The Lucky One (Taylor's Version)",30,1.63333333333333,3,-2.33333333333333,27,2.07407407407407
"Red ","Everything Has Changed (Taylor's Version)",35,1.74285714285714,2,-2.5,33,2
"Red ","Starlight (Taylor's Version)",36,1.25,8,-1.5,28,2.03571428571429
"Red ","Begin Again (Taylor's Version)",20,1.6,5,-1,15,2.46666666666667
"Red ","The Moment I Knew (Taylor's Version)",26,0.461538461538462,12,-1.58333333333333,14,2.21428571428571
"Red ","Come Back...Be Here (Taylor's Version)",20,0.55,7,-1.57142857142857,13,1.69230769230769
"Red ","Girl At Home (Taylor's Version)",17,0.529411764705882,6,-1.83333333333333,11,1.81818181818182
"Red ","State Of Grace (Acoustic Version) [Taylor's Version]",22,0.772727272727273,9,-1.66666666666667,13,2.46153846153846
"Red ","Ronan (Taylor's Version)",21,0.857142857142857,9,-1.66666666666667,12,2.75
"Red ","Better Man (Taylor's Version) [From The Vault]",64,1.046875,13,-1.92307692307692,51,1.80392156862745
"Red ","Nothing New (Taylor's Version) [From The Vault]",29,0.379310344827586,11,-2,18,1.83333333333333
"Red ","Babe (Taylor's Version) [From The Vault]",33,-0.0606060606060606,15,-1.46666666666667,18,1.11111111111111
"Red ","Message In A Bottle (Taylor's Version) [From The Vault]",19,0.947368421052632,5,-2.6,14,2.21428571428571
"Red ","I Bet You Think About Me (Taylor's Version) [From The Vault]",37,0.675675675675676,12,-1.58333333333333,25,1.76
"Red ","Forever Winter (Taylor's Version) [From The Vault]",20,0.25,9,-1.66666666666667,11,1.81818181818182
"Red ","Run (Taylor's Version) [From The Vault]",19,0.210526315789474,11,-1,8,1.875
"Red ","The Very First Night (Taylor's Version) [From The Vault]",27,-0.148148148148148,15,-1.6,12,1.66666666666667
"Red ","All Too Well (10 Minute Version) [Taylor's Version] [From The Vault]",50,0.3,21,-2.23809523809524,29,2.13793103448276
"1989 ","Welcome To New York (Taylor's Version)",51,1.50980392156863,7,-1.14285714285714,44,1.93181818181818
"1989 ","Blank Space (Taylor's Version)",64,-0.21875,36,-2.13888888888889,28,2.25
"1989 ","Style (Taylor's Version)",14,1.28571428571429,3,-1,11,1.90909090909091
"1989 ","Out Of The Woods (Taylor's Version)",56,1.25,3,-1.66666666666667,53,1.41509433962264
"1989 ","All You Had To Do Was Stay (Taylor's Version)",20,1.4,1,-2,19,1.57894736842105
"1989 ","Shake It Off (Taylor's Version)",58,-1.91379310344828,48,-2.75,10,2.1
