height,weight,dash40,vert_jump,bench_reps,broad_jump,cone_time,shuttle_time
76,324,5.44,28.5,22,101,8.31,4.69
75,313,5.1,31,27,103,7.57,4.41
73,244,4.53,40,21,123,7.25,4.12
75,300,5.1,29,28,103,7.46,4.55
69,190,4.35,,,,,
77,355,5.5,23,20,94,8.37,5.15
77,265,4.75,,,,,
70,191,4.49,,,,,
75,247,4.71,34,20,116,6.78,4.11
74,211,4.55,37.5,,121,7.03,4.11
74,212,4.79,,,,,
70,178,4.57,36.5,3,121,6.64,3.92
75,224,4.77,31.5,,106,6.75,3.87
75,241,4.9,32,,116,,
70,201,4.8,,,,,
73,226,4.66,41.5,21,126,7,4.13
73,233,4.67,31,,110,7.3,
71,214,4.72,34,19,110,7.09,4.08
71,200,4.67,35.5,15,117,,
76,349,5.49,28.5,32,97,8.12,4.81
73,231,4.83,30,24,,7.18,4.41
73,195,4.57,34,10,117,7.25,4.33
74,261,4.77,37.5,22,112,7.12,4.28
73,222,4.57,35.5,20,119,6.82,4.16
75,300,5.46,27,32,99,7.51,4.6
77,310,4.91,34.5,32,111,7.85,4.81
73,266,4.48,,28,,,
77,248,4.64,42,20,122,7.09,4.21
73,193,4.56,,,,6.87,4.06
72,228,4.67,,14,,,
74,235,4.82,33.5,,111,7.35,4.26
72,217,4.56,40.5,,126,6.82,4.13
69,177,4.59,37,11,117,7.18,4.29
70,182,4.36,,,,,
75,318,5.13,,,,,
73,214,4.55,34,16,119,,
75,248,4.64,36,,118,,
75,282,4.69,31,24,118,7.69,4.39
72,209,4.66,,24,112,,
72,221,4.6,42,27,121,,
75,272,4.87,31,,109,7.52,4.25
70,177,,,,,,
76,316,5.34,30.5,,100,8.15,5.05
76,269,4.88,,28,,,
74,271,4.97,28,22,107,,
76,259,4.67,40,20,129,6.97,4.19
74,251,4.69,30.5,18,113,7.07,4.21
74,295,5.27,30.5,,104,,4.64
76,215,4.89,32,,112,7,4.21
72,216,4.61,36.5,14,120,7.59,4.34
75,253,4.55,34,27,115,7.15,4.44
74,238,4.87,40,,118,7.24,
71,193,4.45,33,,114,6.65,4.26
70,224,4.78,31.5,25,117,7.27,4.08
78,320,5.09,,,,,
70,218,4.76,35,12,112,7.08,4.14
71,190,4.63,35.5,15,118,7.12,3.88
77,255,4.77,35,21,120,6.87,4.1
76,305,5.22,28,33,103,7.56,4.6
79,308,4.87,27.5,24,110,7.71,4.66
73,206,4.57,35,26,113,7.11,4.29
70,200,4.64,,19,,,
76,303,5.08,29.5,22,104,7.85,4.64
78,300,5.33,28.5,20,101,7.58,4.54
74,200,4.65,35,,,,
74,293,5.06,33.5,23,113,7.37,4.36
72,210,4.58,,28,113,,
72,209,4.64,,,120,,
71,186,4.47,41,,129,6.84,4.04
71,219,4.68,30.5,,113,,
78,267,4.96,40.5,19,119,7.27,4.38
72,213,4.6,,20,121,,
72,216,4.68,34.5,,125,7.01,4.16
72,204,4.49,36,18,124,,
71,205,4.39,39.5,8,121,6.84,4.01
75,255,4.96,,,,,
74,225,4.7,34.5,,118,7.12,4.02
73,242,4.74,34,22,119,7.4,4.35
74,205,4.45,39,,122,7.15,4.1
77,258,4.82,35.5,17,119,7.21,4.36
76,251,4.6,38,18,117,6.9,4.18
75,265,4.79,33.5,20,111,7.43,4.43
77,304,5.21,,,103,,
77,337,5.29,,22,,,
69,180,4.35,,,,,
69,192,4.53,40.5,11,115,6.81,3.97
78,313,5.47,,,,,
77,279,4.89,33.5,26,107,7.28,4.51
75,212,4.62,32.5,15,117,7.26,4.1
75,316,5.43,27,,95,8.28,4.91
74,221,4.86,27,,100,7.34,4.5
77,293,5.09,29.5,24,108,7.34,4.49
76,288,5.08,,27,,,
76,310,5.26,,14,,,
75,244,4.62,32.5,20,114,6.75,4.25
75,197,4.49,,,,,
73,211,4.6,36.5,16,122,6.96,4.14
74,205,4.54,38.5,,111,,
73,235,4.7,33.5,24,114,,
67,155,4.31,35,,119,6.84,4.11
70,194,4.48,36.5,15,119,7.1,4.01
73,196,4.58,35.5,12,118,6.65,3.97
79,270,4.76,32.5,22,115,6.84,4.17
74,221,4.49,41,22,122,6.81,4.07
72,209,4.52,,18,,,
71,245,4.89,32,23,108,7.53,4.34
73,190,4.55,32.5,,119,7.08,4.17
73,203,4.47,36.5,,123,6.83,4.09
75,304,5.32,31,29,104,7.9,4.78
70,214,4.55,32.5,14,112,,
76,221,4.59,38.5,,120,6.85,3.9
76,240,4.59,35,25,113,7.3,4.24
75,290,5.07,,30,,,
75,208,4.5,39.5,13,126,6.51,3.92
75,300,4.97,33.5,23,105,7.36,4.51
80,343,5.13,,,,,
75,247,4.88,29.5,18,112,7.58,4.28
75,318,5.31,,28,,,
70,215,4.93,31,8,107,7.25,4.39
74,263,4.92,37.5,18,114,7.28,4.46
70,190,4.51,33.5,,117,6.84,
71,218,4.66,33.5,12,117,,
77,335,5.28,26,22,,8.07,4.94
73,220,4.55,35,15,128,7,4.15
75,295,5.22,33.5,25,107,,
75,250,4.82,33.5,26,113,7.48,4.38
76,269,4.56,31.5,25,111,7.38,4.51
73,239,4.61,36.5,23,113,,
75,293,5.26,25.5,32,96,7.84,4.64
71,208,4.53,38.5,23,119,,
74,316,5.31,25.5,29,98,8.12,4.8
72,188,4.74,,,,,
71,219,4.62,34.5,15,120,7.12,
75,206,4.95,30,,108,7.28,4.44
74,200,4.69,33.5,,117,6.87,4.27
74,236,4.65,32,18,115,,
73,191,4.52,38,,126,6.9,
74,223,4.88,29,,107,7.46,4.28
74,215,4.61,35,22,117,,
70,185,4.67,38,16,118,7.37,4.39
75,259,4.65,32.5,21,116,7.37,4.31
75,265,4.77,38.5,21,117,,
77,314,5.34,23.5,30,,,
75,279,4.81,33.5,24,114,7.46,4.27
76,255,4.75,29,21,110,7.34,4.29
78,283,4.74,,,,,
75,190,,,,,,
75,300,5.07,33.5,36,97,7.68,4.69
70,214,4.68,34,14,119,7.59,4.6
75,261,4.74,33.5,20,116,,4.34
73,214,4.66,31.5,18,115,,
74,319,5.5,26,,93,8.12,5.23
76,320,5.22,30,,106,7.84,4.81
77,210,4.48,,,,,
75,295,5.25,,,,,
71,204,4.42,,,,,
72,200,4.48,,,,,
76,317,5.31,28,26,,,
76,309,5.37,26.5,23,93,7.9,4.63
74,219,5.24,33.5,,112,7.12,4.09
75,229,4.66,,26,,,
69,190,4.5,,,,,
71,210,4.61,32,20,113,7.08,4.14
71,201,4.57,,,,,
70,210,4.54,,,,,
71,186,4.47,39.5,10,120,,4.15
74,251,4.73,36,22,117,7.02,4.19
78,331,5.57,25,20,93,9,5.16
76,300,5.3,27.5,22,88,7.65,4.79
71,197,4.56,,17,118,,
73,219,5.2,,,,,
77,253,4.97,31,14,114,7.37,4.27
74,205,4.47,,,,,
71,185,4.36,,,,,
73,200,4.49,,,,,
77,263,,34.5,,,,
71,218,4.42,40.5,21,124,6.96,3.93
76,268,4.9,32.5,26,110,7.5,4.61
74,304,5.33,29,30,100,7.87,4.59
75,279,5.08,,22,,,
70,194,4.47,37.5,11,120,,
74,192,4.62,37,,119,7.09,4.11
77,255,4.64,,,,,
75,244,4.68,,,,,
75,311,5.3,28.5,24,98,7.84,4.71
76,311,5.09,,27,,,
75,214,4.69,37,12,123,6.78,4.2
76,271,4.9,28.5,16,112,7.46,4.38
74,244,4.53,42,26,125,7.1,4.11
73,193,4.62,30.5,,110,7,4.22
74,252,4.93,29,20,111,7.63,4.53
73,227,4.42,,,,,
72,197,4.22,,,,,
76,265,4.98,36.5,24,112,7.35,4.22
76,256,4.89,36.5,20,119,7.5,4.55
68,194,4.6,32,15,121,,
79,265,4.77,,,,,
72,231,4.53,32.5,23,110,,
77,205,4.63,33.5,,114,7.06,4.16
76,251,4.97,27,15,101,,
75,236,4.68,34.5,23,116,7.25,4.34
74,335,5.3,29,28,,,
74,236,4.83,35.5,19,120,6.56,4.09
71,213,4.58,33,22,114,,
76,219,4.69,31,,114,7.59,4.25
76,266,4.47,34.5,33,,,
71,180,4.64,35,10,122,,
69,210,4.59,36,17,115,6.87,4.21
72,229,4.51,34,21,116,7.21,4.1
73,220,4.59,33.5,12,120,,
74,243,4.69,36.5,27,121,7.15,4.19
74,236,4.62,35.5,26,117,6.93,4.09
71,196,4.49,38,,123,6.65,3.88
74,305,4.93,30,,102,,4.36
79,321,5.36,30.5,30,,,
75,210,4.38,39.5,,128,6.86,4.05
80,344,5.26,28.5,21,102,8.09,4.95
74,219,4.63,,,,,
76,192,4.67,37,7,120,,
76,308,5.37,32,34,104,7.68,4.63
75,296,4.95,32.5,24,109,7.37,4.31
75,215,,,,,,
73,243,4.52,,,,,
73,211,4.43,35,15,116,7.25,4.22
68,200,4.57,37,26,118,7.09,
75,268,4.88,31.5,20,114,7.4,4.36
69,207,4.58,36.5,20,121,6.96,
75,224,4.66,,16,,,
78,375,5.3,30,29,102,,
67,190,4.47,32.5,19,110,,
71,204,4.53,38,23,123,,
72,219,4.53,30.5,13,115,,
74,222,4.46,38.5,19,125,6.78,3.93
72,209,4.56,38.5,28,120,6.62,3.87
76,245,4.92,33.5,17,116,7.09,4.1
73,231,4.68,38,25,122,7.09,4.21
72,228,4.83,,,,,
72,210,4.63,38.5,23,121,,
75,222,5.26,,,,,
74,220,4.93,34,,112,7.08,4.14
74,227,4.61,36.5,26,126,7.13,4.25
72,299,5.13,30.5,,109,7.68,4.59
74,209,4.59,39.5,,121,7.22,
73,213,4.53,40.5,,131,6.84,4.11
74,241,4.6,,,,,
74,213,4.45,37.5,16,124,,
69,192,4.43,37,15,127,6.83,4.07
75,233,4.58,42,,135,,
70,188,4.58,,15,,,
71,201,4.67,33.5,,112,,
74,264,4.79,,25,,,
74,236,4.67,34.5,32,123,7,4.08
73,243,4.89,30,19,112,7.23,4.34
76,300,5.38,,18,,,
74,205,4.45,,,,,
73,217,4.58,35,,117,6.74,4.06
72,222,4.62,31.5,,119,,
72,208,4.57,30.5,,119,7.38,4.1
76,279,5.02,31,,107,7.18,4.35
78,314,5.18,30,,106,7.65,4.5
74,211,5.16,28.5,,103,7.59,4.42
73,216,4.72,33.5,,114,7.35,4.33
75,234,4.61,35.5,,117,7.2,4.02
78,304,5.24,,,,,
72,203,4.4,36,22,119,,
78,277,4.73,34,25,116,7.14,4.31
76,301,5.38,28.5,25,96,8.12,4.77
73,242,4.75,33,25,113,,
72,308,5.3,27,26,101,7.99,4.67
72,238,4.82,37.5,,121,7.37,4.21
73,202,4.81,,,,,
75,220,4.46,,,,,
72,195,4.59,35.5,15,126,7.05,4.13
74,218,4.73,35.5,,114,7.36,4.4
72,204,4.56,36,,119,7.2,4.13
72,197,4.51,42.5,,126,6.96,4.16
76,243,4.83,32,26,108,7.73,4.57
72,216,4.56,36,19,120,7.04,4.16
77,198,4.7,,,115,7.42,4.28
76,223,4.34,38,,127,6.73,4.26
70,192,4.89,,,,,
74,238,4.61,36,20,118,7.29,4.39
75,257,4.65,37.5,,123,,
75,301,5.16,27,,102,7.81,4.69
75,236,4.68,35,18,116,7.48,4.66
67,205,4.7,31.5,21,112,7.21,4.18
74,309,5.22,31,29,103,7.85,4.75
69,181,4.55,32,,119,6.98,4.2
72,236,4.73,32.5,25,,7.08,4.29
76,254,4.63,35.5,17,118,7.47,4.53
81,318,5.28,32,,100,7.98,4.87
71,186,4.42,36,,122,6.76,3.99
72,186,4.42,40,19,131,7.01,
71,235,4.56,38.5,21,116,7.25,4.37
76,329,5.34,27.5,,95,8.26,4.98
76,334,5.63,22.5,22,90,8.35,5.1
72,228,4.62,37,19,117,7.32,4.44
78,310,5.26,28,22,96,8.1,4.97
78,311,5.29,24.5,,85,8.04,4.73
78,347,5.58,25,,92,,
77,208,4.7,,,,,
70,207,4.45,,,,,
73,205,4.52,,20,,,
73,233,4.71,32.5,21,113,7.18,4.29
71,196,4.52,34,,122,7.41,4.35
72,196,4.9,,,,,
75,301,5.17,,29,102,,
72,176,4.5,,,,,
75,303,5.18,,,,,
73,219,4.35,,27,137,,
75,324,5.83,23.5,,94,9.12,5.54
68,196,4.91,,,,,
72,198,4.39,35,18,124,,
69,202,4.6,33.5,19,117,7.09,4.2
73,239,4.87,34,23,106,7.4,4.36
77,338,5.23,27,,100,,
73,307,5.2,27,,100,,4.79
76,307,5.05,24.5,36,95,8.24,4.92
74,309,5.57,,,,,
74,213,4.52,35.5,,116,7.05,4.16
76,217,4.45,,,,,
72,223,4.65,,22,,,
75,295,4.9,,,,,
73,205,4.44,34.5,,116,7.54,4.43
69,194,4.32,35,,129,6.9,3.96
73,205,4.87,,,,,
72,251,4.86,27.5,19,109,,
70,183,4.58,32.5,15,117,7.46,4.31
69,225,4.5,,22,,,
72,228,4.68,,,,,
74,272,4.78,35.5,27,119,,
75,243,4.81,,,,,
74,267,4.78,32,19,105,7.23,4.32
67,195,4.48,38,21,123,,4.08
71,232,4.59,32,29,113,7.73,4.68
70,192,4.49,36,18,118,6.82,4
72,196,4.63,,,,,
76,300,5.05,31.5,28,112,7.69,4.39
73,217,5.06,,,,,
75,252,4.88,33,21,110,7.55,4.46
74,209,4.61,33,16,117,6.8,3.92
76,267,4.85,,34,,,
73,232,4.76,32.5,17,115,7.55,4.41
79,310,5.2,35.5,,107,7.98,4.65
73,238,4.75,30.5,,107,7.57,4.35
76,281,4.87,30.5,23,109,,
73,245,4.8,,20,,,
70,222,4.6,34,29,115,7.38,4.42
80,262,4.83,35,24,112,7.26,4.33
74,200,4.51,38,,125,6.72,3.95
72,252,4.86,33,29,117,7.26,4.33
73,333,5.3,,30,,8.46,5.13
74,208,4.55,34.5,13,122,6.99,4.03
74,277,5.08,32,20,120,7.55,4.36
70,178,4.56,31.5,,114,7.34,4.28
78,246,4.96,,,,,
74,267,4.86,30,24,106,7.68,4.52
78,303,5.08,31,37,104,7.72,4.57
76,266,4.86,37,14,114,7.69,4.5
76,356,5.4,,,,,
72,205,4.42,,,,,
74,242,4.71,32.5,,113,7.53,4.54
79,311,5.26,30,18,96,8.47,4.69
73,206,4.56,33.5,19,117,7.01,4.19
77,247,4.61,33.5,,,,
78,278,4.96,33.5,18,115,7.15,4.47
73,228,4.45,,19,,,
71,260,4.9,29,20,103,,
75,284,5.07,28.5,21,107,7.72,4.58
75,289,5.28,24.5,17,97,8.27,4.89
75,232,5.17,,,,,
74,214,4.57,,,,,
71,201,4.38,38.5,,127,,
78,329,5.37,,30,,,
74,230,4.41,39,,132,,
75,305,4.95,,,,,
76,272,4.78,30.5,19,109,,
77,308,5.18,,29,,,
78,319,5.44,29.5,,101,8.32,4.86
72,218,4.61,35,,113,,
75,312,5.73,26,21,95,8.57,5.09
72,186,4.42,35,,125,7.51,4.24
76,273,4.75,36.5,23,121,,
76,322,5.2,,,,,
71,204,4.46,38,16,127,6.88,3.96
75,281,4.95,35,25,114,7.5,4.37
76,299,5.42,28,20,106,7.99,4.73
75,213,4.77,30,,101,6.92,4.1
77,291,5.32,,,,,
71,283,4.94,33.5,26,111,7.52,4.43
78,316,5.14,31,28,103,7.95,4.62
75,297,5.43,28.5,27,101,8.26,4.56
74,290,5.08,28,26,106,,
78,333,5.57,27,17,92,8.44,4.86
76,327,4.98,30,23,106,7.78,4.69
75,249,4.82,39,26,120,7.42,4.42
77,241,4.85,,,,,
72,196,4.48,34.5,13,119,6.95,4.15
72,200,4.65,33.5,11,115,7.42,4.21
75,305,4.97,26,30,95,7.53,4.56
72,184,4.62,36,,,,
78,302,5.1,,,105,,
72,246,4.75,34,24,111,7.53,4.24
77,300,5.16,28.5,20,93,7.86,4.51
74,235,4.64,34,17,114,6.9,4.15
76,301,5.28,,,,,
70,233,4.67,,,,,
71,211,4.65,33.5,18,115,7.33,4.5
71,215,4.49,32,,119,7.32,4.26
75,301,5.14,30,30,105,7.75,4.77
69,198,4.68,32,,109,7.27,4.23
70,189,4.58,32.5,18,115,,
69,185,4.52,36.5,12,117,7.11,4.17
73,303,5.05,28.5,26,107,7.77,4.66
74,304,5.06,29.5,27,107,7.59,4.4
74,201,4.9,,,,,
73,195,5.25,,,,,
77,359,5.22,27.5,,92,,
75,299,5.15,,30,,,
73,202,4.45,38.5,22,123,7.09,4.17
72,213,5.07,,,,,
71,202,4.49,,27,,,
68,169,4.43,,,,,
73,227,4.99,31,,110,7.6,4.44
74,264,4.67,34,,117,7.28,4.58
72,223,4.45,,,,,
70,201,4.57,37,15,126,6.88,4.09
76,210,4.61,,,,,
76,248,4.88,34.5,22,117,,
74,201,4.52,36.5,9,130,7.11,4.18
75,299,5.2,,,,,
73,253,4.69,37,25,117,7.32,4.24
79,257,4.93,34.5,16,115,7.36,4.39
75,324,5.1,,,,,
73,303,5.04,32,29,104,7.64,4.29
72,237,4.71,,,,,
73,210,4.6,38,,124,7.03,4.23
74,240,4.65,32.5,22,114,7.29,4.26
74,285,5,32,22,104,7.71,4.57
75,214,4.65,33.5,,116,6.93,4.09
75,297,5.19,,28,,,
73,255,4.73,31.5,,114,7.78,4.32
72,228,4.65,30,,106,7.49,4.39
76,259,4.86,28.5,19,102,7.37,4.34
77,301,5.26,,21,,,
70,189,4.37,41,,136,6.88,3.83
74,220,4.65,33.5,17,119,7.08,4.16
77,303,5.28,27,20,90,8.21,4.96
73,241,4.6,,26,,,
78,308,5.35,26.5,23,94,8.65,5.03
77,208,4.68,31,,122,7.19,4.44
76,269,4.79,33,,115,,
73,208,4.57,35.5,25,115,6.87,4.08
74,226,4.96,,,,,
77,232,4.65,,,,,
78,337,5.3,,38,,,
75,246,4.65,37,21,125,7.07,4.35
75,298,4.8,,,,,
73,251,4.78,27.5,28,,,
75,218,4.82,30,,106,,
74,243,4.63,39,,128,,
74,206,4.57,38,14,125,6.77,4.21
77,259,4.69,35,,,,
70,229,4.68,,,,,
70,265,4.62,,22,,,
70,206,4.4,,,,,
78,311,5.32,26,,95,8.43,4.98
77,301,5.23,28.5,21,102,8.38,4.7
76,249,4.99,30.5,,101,7.42,4.36
76,279,4.88,,24,,,
75,255,4.82,37,23,119,7.49,4.32
69,203,4.63,34,18,117,7.12,4.26
73,317,5.15,,,,,
72,240,4.95,33.5,19,116,7.62,4.36
74,202,4.4,,,,,
74,295,5.2,27.5,27,99,8.16,4.65
74,230,5.01,30,,105,7.11,4.2
78,327,5.42,26.5,21,92,8.2,4.87
71,185,4.49,35.5,9,120,6.95,4.14
74,202,4.54,37.5,14,128,7.44,4.45
77,303,5.37,28.5,24,100,8.48,4.94
79,324,5.05,32,31,105,,
74,297,5.21,31.5,,111,7.73,4.72
71,229,4.55,,,,,
72,216,4.64,36.5,,112,7.13,4.3
71,192,4.47,32,,118,7.37,4.37
77,307,5.09,30.5,18,94,8.56,5.13
74,236,4.91,,,,,
77,330,5.48,28,23,98,7.85,4.72
73,219,4.6,,13,,,
74,312,5.16,28.5,28,99,8.12,5
76,261,4.8,,20,,,
75,309,5.44,28.5,16,99,7.93,4.66
74,245,4.72,31,20,111,7.27,4.32
76,251,4.65,39.5,28,120,7.09,4.31
75,214,4.89,,,,,
76,220,4.84,31,,103,7.38,4.21
74,253,4.88,,,,,
75,258,4.62,37,26,122,6.74,4.25
73,232,4.45,35.5,,123,,
70,220,4.48,,19,,,
77,243,4.79,35.5,16,118,7.23,4.37
76,296,5.14,32.5,24,114,7.62,4.75
77,307,5,30,18,109,7.7,4.49
76,317,5.48,27.5,,103,8.54,5.08
74,274,4.97,,26,,,
78,297,4.96,36,,119,7.36,4.42
77,302,4.99,35,32,115,7.83,4.62
77,248,5.06,30,9,109,7.59,4.4
74,203,4.68,39,,122,6.91,4.16
70,187,4.53,35.5,16,121,6.98,4.04
72,202,4.44,,,,,
75,262,4.84,,,,,
75,313,5.1,,,,,
76,303,5.23,28.5,25,103,7.81,4.51
75,334,5.48,25.5,25,94,8.62,5
76,248,5.01,31,17,113,7.47,4.53
74,240,4.58,35.5,29,123,7.01,4.22
73,207,4.49,40,12,131,7.05,3.89
72,231,4.65,34.5,19,111,6.97,4.07
71,233,4.6,,19,,,
73,202,4.67,36,,119,6.99,4.23
71,199,4.38,39,11,127,6.87,4.32
70,188,4.34,35,16,123,7.25,4.2
78,328,5.35,30,,103,8.39,4.97
73,189,4.55,,,,,
74,288,5.24,,26,111,,
70,193,4.66,34.5,,115,7.01,4.11
78,252,4.72,33.5,24,115,7.57,4.3
71,196,4.56,38,,127,6.98,4.14
72,211,5,,,,,
76,272,4.9,,30,,,
71,184,4.67,31,11,109,7.05,4.29
79,321,5.14,31.5,20,107,7.61,4.5
75,256,4.79,34,22,110,7.52,4.47
77,307,5.1,,27,,,
77,275,5.03,27,22,109,8.59,4.82
74,223,4.42,,,,,
72,223,4.63,34,15,114,7.35,4.2
73,204,4.38,38,9,125,7.14,4.13
75,300,5.16,29,23,104,8.35,4.56
74,273,4.76,33,22,112,7.22,4.32
72,229,4.8,29,27,111,7.32,4.34
76,321,5.18,30,28,106,7.95,4.58
76,245,4.8,,,,,
75,271,4.91,34.5,29,114,7.45,4.4
74,263,4.7,32,29,113,7.53,4.47
77,321,5.25,27.5,,99,8.57,5.01
69,213,4.63,32.5,22,112,7.32,4.47
77,304,4.81,30,23,112,7.66,5.04
77,340,5.08,32.5,27,108,8.06,4.54
70,192,4.48,38,15,122,7.18,4.05
78,264,4.65,31,25,,,
73,207,4.78,32.5,,113,7.14,4.16
73,197,4.47,35.5,10,128,6.78,3.96
74,249,4.89,34.5,16,115,7.24,
73,201,4.76,36,13,114,7.42,4.41
77,214,4.54,39,,121,6.9,4.25
76,257,4.7,,20,,,
69,179,4.58,33.5,,120,6.89,4.08
75,254,4.65,33,,118,,4.36
71,185,4.35,39.5,,125,6.97,4.23
72,210,4.64,32,,114,7.41,4.43
72,202,4.58,,,,,
78,265,4.72,33,13,120,7.11,4.34
72,209,4.59,38,21,123,7.37,4.34
75,307,5.01,,,,,
78,269,4.89,30,17,106,7.86,4.45
78,342,5.07,30.5,34,106,8.09,4.78
76,366,5.49,25,27,98,8.25,4.85
77,308,5.2,27,20,101,7.55,4.42
75,260,4.62,34,28,121,7.03,4.14
70,204,4.5,36,21,117,7.19,4.12
77,277,5.07,,24,,,
72,180,4.46,31,,113,,
71,212,4.37,38.5,25,117,,
77,302,5.22,,26,,,
73,183,4.58,38,,128,7.34,4.18
75,303,5.09,30,33,109,7.44,4.38
76,266,4.89,,12,102,,
74,230,4.6,34,14,112,7.12,4.05
76,306,5.06,29.5,,110,7.41,4.27
74,225,4.5,,,,6.89,3.92
73,306,5.09,26.5,19,104,7.88,4.85
71,177,4.45,,,,,
69,187,4.43,33,15,124,7.24,4.44
72,219,4.56,33,,117,7.38,4.21
71,209,4.67,36,15,120,6.75,4.08
78,306,5.32,24.5,25,97,7.66,4.76
71,204,4.73,29,,114,7.26,4.32
79,320,5.11,30.5,,105,7.96,4.92
76,302,5.18,33,25,111,7.63,4.66
75,308,5.35,,26,,,
76,335,5.33,,30,,,
70,195,4.34,41,15,128,,
77,305,5,28.5,28,106,8.35,4.8
76,204,4.36,,,,,
71,224,4.51,34.5,22,112,,4.12
79,294,5.17,27.5,27,107,7.53,4.37
76,297,5.25,,19,85,8.31,4.98
79,313,5.44,27,22,101,7.56,4.4
78,351,5.28,22,,86,8.75,4.94
75,253,4.71,33,23,115,,4.08
78,312,5.1,,32,,,
79,315,5.51,30,24,100,8.09,4.88
77,329,5.52,26,,102,7.9,4.74
75,223,4.95,,,,,
77,294,4.95,,23,,,
75,209,4.67,32.5,,116,6.77,4.09
72,223,4.75,40,,123,,
72,233,4.58,34.5,22,118,,
73,207,4.6,30,,,,
71,194,4.49,39.5,8,127,,
70,200,4.64,35.5,16,117,7.03,4.14
73,201,4.69,35,,112,,
75,265,4.87,33,22,115,7.21,4.19
75,223,4.55,36.5,25,121,7.02,4.12
72,208,4.53,35.5,,116,7.34,4.31
73,241,4.65,35.5,22,,7.25,4.16
72,212,4.54,36,,121,6.93,3.91
74,316,6.05,,,,8.03,4.86
73,226,4.83,30.5,14,108,,
73,201,4.6,34.5,17,127,,
72,197,4.6,31,,117,6.72,3.94
75,251,4.58,,,,,
76,301,5.23,28.5,22,110,7.85,4.61
73,213,4.52,37,,129,,
74,239,4.76,,,114,7.2,4.02
70,200,4.54,33.5,13,112,7.27,4.07
74,214,4.5,35.5,10,120,6.97,4.42
76,316,5.12,27,29,106,8.34,
70,195,4.77,35.5,15,118,,
75,297,5,31,26,105,,
79,322,5.46,28.5,26,102,8.3,4.84
76,332,5.5,26.5,21,98,8.01,4.82
71,203,4.53,35,13,120,6.94,4.03
76,263,5,28,21,109,7.4,4.32
73,222,4.65,,20,,,
71,226,4.58,,15,,,
75,313,5.12,28,25,105,7.59,4.68
71,202,4.53,35,17,113,7.19,4.27
76,251,4.84,31,21,108,7.86,4.49
77,260,4.93,34.5,25,115,6.99,4.13
71,197,4.39,34.5,,120,,
72,194,4.55,,,,,
72,231,4.68,34.5,25,120,7.44,4.25
76,226,4.83,30.5,,113,7.28,4.18
75,225,4.48,,,,,
72,230,4.62,32,,120,6.94,3.91
76,266,5,30.5,24,111,7.49,4.35
75,250,4.8,37.5,35,118,7.19,4.19
74,227,4.65,,28,,,
69,198,4.33,38.5,,114,6.97,4.06
74,275,5.06,33,18,109,7.44,4.18
79,323,4.98,30,24,105,7.42,4.38
73,198,4.52,,,,,
71,199,4.46,36.5,11,123,6.91,3.91
73,229,4.65,,,,,
75,271,4.84,33.5,24,112,,
74,248,5.02,27.5,11,103,7.47,4.5
74,245,4.7,34.5,21,129,7.26,4.04
70,178,4.5,36.5,7,126,,
75,303,5.16,,31,,,
74,199,4.53,41,,131,6.79,4.08
74,323,5.5,24.5,27,91,7.94,4.66
70,202,4.34,,,,,
75,317,5.54,26.5,27,101,8.12,4.55
75,196,4.54,,,,,
75,295,5.2,34,27,108,7.72,4.55
73,242,4.73,,27,,,
76,252,4.69,30.5,25,118,7.44,4.25
74,295,4.78,,29,,,
73,238,4.78,31,,115,,
76,263,4.8,35,23,117,7.1,3.98
76,311,5.67,23,18,94,8.25,5.12
71,198,4.41,,,,,
74,315,5.2,,,,,
72,231,4.68,32.5,26,106,7.38,4
79,305,5.12,29,23,106,,
73,307,5.17,29,26,110,8.22,4.75
75,267,4.57,36.5,31,123,7.99,4.48
72,235,4.64,33.5,,117,7.14,4.09
70,185,4.46,34.5,11,115,7.05,4.06
73,241,4.55,,,,,
76,300,4.98,30.5,28,105,7.84,4.52
76,218,4.4,,,,,
71,213,4.6,35,,123,7.47,4.16
72,230,4.49,39,30,,,
77,260,4.8,35.5,23,110,7.06,4.08
71,202,4.61,32.5,,118,7.16,4.16
75,304,4.69,34,31,114,7.56,4.6
75,286,5.06,30,19,111,7.78,4.53
76,269,4.87,,,,,
74,227,4.65,37.5,20,120,7,4.08
71,207,4.5,,,,,
73,218,4.63,36.5,,122,7.19,
73,249,4.71,35.5,26,118,7.16,4.21
72,227,4.38,38,,120,,
70,217,4.47,37.5,,121,6.97,4.12
73,249,4.55,,,,,
75,222,4.88,,,,,
76,296,4.97,31,27,114,7.81,4.58
73,178,4.59,33.5,,115,7.34,4.21
78,345,5.33,,29,,,
72,187,4.95,,,,,
71,254,5.02,30,25,103,,
78,294,4.87,25,24,105,7.79,4.45
76,222,4.87,26.5,,110,7.69,4.22
72,213,4.56,34,,109,7.18,4.24
73,209,4.88,,,,,
69,209,4.71,31.5,16,108,,
74,244,4.71,30.5,,108,6.98,3.88
74,244,4.6,33.5,18,119,6.78,4.16
75,228,4.84,28,,112,7.22,4.08
75,263,4.69,35.5,35,126,7.01,4.07
73,204,4.86,,,,,
73,303,5.09,,,,,
75,290,5.26,27,18,97,7.71,4.47
73,207,5,,,,,
73,240,4.55,34.5,26,113,6.91,4.06
75,309,5.15,,31,,,
79,317,5.36,27.5,23,102,7.94,4.71
72,197,4.53,35,,116,,
