type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Townhouse,Burlington,5401,415000,2,1,1114,,1979,373
Condo/Co-op,Burlington,5401,240000,2,1,1000,,1992,240
Single Family Residential,Burlington,5401,535000,3,2,1358,4356,1899,394
Single Family Residential,Burlington,5401,587000,2,1,1860,7840,1964,316
Condo/Co-op,Burlington,5401,499000,2,2,1252,,2006,399
Townhouse,Burlington,5408,427500,3,2.5,1852,14374,2019,231
Single Family Residential,Burlington,5408,450000,3,2,1820,8712,1977,247
Single Family Residential,Burlington,5401,588000,3,2,1523,11325,1954,386
Townhouse,Burlington,5401,600000,4,2.5,2238,1742,1903,268
Townhouse,Burlington,5401,301000,2,1,1000,,1992,301
Single Family Residential,Burlington,5408,426600,4,2,2048,6098,1959,208
Single Family Residential,Burlington,5408,465000,3,1,1408,10454,1952,330
Single Family Residential,Burlington,5401,455000,4,1,1304,6969,1932,349
Townhouse,Burlington,5408,466000,2,2.5,1676,,1990,278
Single Family Residential,Burlington,5401,307500,3,1,1008,6969,1956,305
Single Family Residential,Burlington,5401,785000,4,2,2195,4356,1910,358
Single Family Residential,Burlington,5401,528250,2,1.5,1260,5662,1899,419
Townhouse,Burlington,5408,355000,2,1,1030,,1991,345
Single Family Residential,Burlington,5408,427500,3,1,864,8712,1955,495
Single Family Residential,Burlington,5408,550000,3,2.5,1656,11325,1950,332
Single Family Residential,Burlington,5401,631500,3,2,1334,7405,1935,473
Single Family Residential,Burlington,5408,360000,4,1,1528,6969,1970,236
Condo/Co-op,Burlington,5401,233500,2,1,820,,1992,285
Single Family Residential,South Burlington,5403,366000,2,2,1422,10454,1955,257
Condo/Co-op,Burlington,5401,400000,2,2,1498,,2003,267
Multi-Family (2-4 Unit),Burlington,5401,545000,4,4,1902,2047,1920,287
Condo/Co-op,Burlington,5401,480000,2,2,1706,,2003,281
Single Family Residential,Burlington,5401,765000,3,1.5,1688,4356,1938,453
Townhouse,Burlington,5401,1024000,2,3,2080,,1987,492
Condo/Co-op,Burlington,5401,601000,3,2,1822,,1978,330
Condo/Co-op,Burlington,5401,408000,2,2,968,,1980,421
Condo/Co-op,Burlington,5408,354000,2,2,1344,,2002,263
Single Family Residential,Burlington,5408,361900,3,1,928,8276,1950,390
Mobile/Manufactured Home,Burlington,5401,76000,2,1,672,,2020,113
Single Family Residential,Burlington,5401,550000,3,1.5,1272,7405,1930,432
Single Family Residential,Burlington,5401,730000,4,2,1848,9583,1942,395
Single Family Residential,South Burlington,5403,885000,3,2,2032,14810,1960,436
Condo/Co-op,Burlington,5401,455000,2,2,1045,,2007,435
Single Family Residential,Burlington,5408,412000,3,1,950,11325,1953,434
Multi-Family (2-4 Unit),Burlington,5401,735000,4,1,2272,6098,1899,324
Condo/Co-op,Burlington,5401,377000,2,1,921,,2007,409
Single Family Residential,Burlington,5401,665000,4,2.5,2200,3049,1899,302
Single Family Residential,Burlington,5408,480000,3,1.5,1424,12632,1976,337
Townhouse,Burlington,5401,240000,1,1,640,,1985,375
Condo/Co-op,Burlington,5401,1060000,2,2,1456,10890,2006,728
Multi-Family (2-4 Unit),Burlington,5401,183585,4,2,1782,13068,1899,103
Townhouse,Burlington,5401,401000,3,2,1378,,1969,291
Single Family Residential,Burlington,5408,410000,4,1.5,1370,6969,1950,299
Multi-Family (2-4 Unit),Burlington,5401,500000,5,3,2288,3049,1899,219
Townhouse,Burlington,5401,572000,3,1.5,2072,,1899,276
Townhouse,Burlington,5408,603251,2,1.5,1400,,1986,431
Single Family Residential,Burlington,5408,500000,3,2,1708,10018,1949,293
Single Family Residential,Burlington,5408,671000,4,1.5,2980,12632,1958,225
Single Family Residential,Burlington,5401,622000,3,2.5,1460,2918,1938,426
Single Family Residential,Burlington,5408,380000,2,1,1728,11325,1972,220
