type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Condo/Co-op,Washington,20005,1390000,2,2,1197,,2008,1161
Single Family Residential,Washington,20009,749000,2,1.5,1325,,1911,565
Townhouse,Washington,20002,1000000,3,2.5,2072,1549,1912,483
Townhouse,Washington,20007,1125000,1,1,1444,1433,1900,779
Condo/Co-op,Washington,20009,309000,1,2,717,,1926,431
Townhouse,Washington,20001,1035000,4,3,1984,1012,1900,522
Single Family Residential,Washington,20015,1333325,4,2.5,1792,9867,1941,744
Townhouse,Washington,20007,1400000,2,2,1236,2286,1885,1133
Condo/Co-op,Washington,20024,675000,2,2,1244,,1965,543
Single Family Residential,Washington,20016,3650000,8,4.5,5400,6917,1916,676
Townhouse,Washington,20003,1310000,4,3,2048,1321,1840,640
Condo/Co-op,Washington,20032,234000,3,3,1739,,1978,135
